iter	Passed	Remaining
398	329410	496179
399	330206	495309
400	331022	494470
401	331839	493632
402	332645	492777
403	333441	491908
404	334235	491036
405	335052	490199
406	335840	489320
407	336651	488475
408	337490	487669
409	338311	486839
410	339121	485991
411	339937	485152
412	340755	484317
413	341574	483484
414	342366	482612
415	343151	481732
416	343930	480842
417	344681	479915
418	345456	479022
419	346227	478124
420	347005	477235
421	347772	476333
422	348547	475442
423	349314	474540
424	350088	473649
425	350847	472737
426	351608	471830
427	352360	470911
428	353143	470034
429	353913	469140
430	354663	468221
431	355444	467343
432	356216	466454
433	357000	465580
434	357784	464709
435	358561	463826
436	359312	462912
437	360104	462051
438	360892	461186
439	361668	460305
440	362448	459430
441	363246	458577
442	364022	457698
443	364795	456816
444	365577	455945
445	366344	455055
446	367120	454178
447	367925	453336
448	368703	452461
449	369487	451596
450	370250	450704
451	371041	449846
452	371838	448997
453	372620	448129
454	373402	447262
455	374182	446392
456	374958	445520
457	375735	444647
458	376510	443773
459	377281	442895
460	378071	442040
461	378843	441163
462	379617	440291
463	380399	439426
464	381167	438547
465	381943	437678
466	382720	436809
467	383491	435934
468	384249	435045
469	385031	434184
470	385787	433294
471	386563	432427
472	387347	431569
473	388129	430709
474	388905	429843
475	389671	428965
476	390443	428095
477	391208	427219
478	391989	426360
479	392777	425509
480	393543	424634
481	394329	423781
482	395105	422918
483	395886	422060
484	396683	421220
485	397466	420366
486	398294	419558
487	399069	418695
488	399843	417832
489	400619	416971
490	401394	416109
491	402175	415254
492	402964	414407
493	403747	413554
494	404557	412730
495	405370	411908
496	406176	411079
497	406981	410250
498	407770	409404
499	408546	408546
500	409325	407691
501	410134	406866
502	410932	406031
503	411724	405189
504	412503	404335
505	413289	403488
506	414046	402613
507	414824	401758
508	415595	400898
509	416375	400047
510	417152	399193
511	417940	398349
512	418736	397514
513	419548	396693
514	420348	395861
515	421158	395039
516	421993	394241
517	422793	393409
518	423586	392572
519	424390	391744
520	425170	390895
521	425969	390063
522	426776	389239
523	427572	388405
524	428360	387564
525	429145	386720
526	429968	385910
527	430750	385064
528	431538	384224
529	432317	383375
530	433103	382534
531	433915	381715
532	434725	380894
533	435550	380087
534	436349	379257
535	437122	378404
536	437898	377554
537	438699	376727
538	439475	375877
539	440291	375062
540	441062	374209
541	441821	373347
542	442590	372493
543	443351	371633
544	444141	370796
545	444943	369971
546	445769	369165
547	446570	368339
548	447380	367520
549	448182	366694
550	448978	365864
551	449770	365031
552	450576	364208
553	451398	363399
554	452211	362584
555	453001	361749
556	453822	360939
557	454639	360126
558	455454	359312
559	456240	358474
560	457063	357666
561	457937	356897
562	458785	356109
563	459607	355299
564	460475	354525
565	461307	353723
566	462108	352897
567	462905	352068
568	463703	351241
569	464493	350407
570	465300	349586
571	466108	348766
572	466900	347934
573	467734	347133
574	468542	346314
575	469346	345491
576	470146	344665
577	470939	343834
578	471728	343000
579	472548	342190
580	473356	341370
581	474162	340549
582	474948	339714
583	475760	338897
584	476555	338069
585	477352	337242
586	478189	336443
587	478993	335620
588	479792	334796
589	480592	333971
590	481399	333151
591	482201	332328
592	483016	331513
593	483833	330700
594	484634	329876
595	485433	329052
596	486238	328231
597	487057	327419
598	487876	326608
599	488687	325791
600	489477	324961
601	490275	324135
602	491082	323316
603	491890	322497
604	492678	321666
605	493490	320850
606	494311	320040
607	495152	319243
608	495998	318448
609	496836	317649
610	497673	316849
611	498503	316044
612	499295	315215
613	500113	314403
614	500910	313578
615	501737	312771
616	502529	311942
617	503346	311130
618	504173	310323
619	505001	309516
620	505839	308717
621	506660	307906
622	507487	307099
623	508338	306306
624	509173	305503
625	510003	304698
626	510848	303901
627	511682	303098
628	512504	302288
629	513322	301474
630	514125	300653
631	514933	299834
632	515761	299027
633	516610	298232
634	517460	297437
635	518289	296631
636	519105	295816
637	519910	294996
638	520724	294181
639	521526	293358
640	522348	292547
641	523184	291744
642	524031	290947
643	524864	290142
644	525693	289335
645	526485	288507
646	527279	287680
647	528086	286861
648	528901	286046
649	529705	285225
650	530507	284403
651	531300	283577
652	532127	282768
653	532953	281960
654	533816	281170
655	534644	280362
656	535470	279552
657	536291	278741
658	537088	277916
659	537909	277104
660	538741	276298
661	539619	275515
662	540438	274702
663	541261	273891
664	542058	273067
665	542852	272241
666	543656	271420
667	544459	270599
668	545261	269778
669	546066	268957
670	546871	268138
671	547666	267313
672	548477	266496
673	549280	265675
674	550081	264853
675	550888	264035
676	551702	263219
677	552504	262398
678	553310	261579
679	554117	260761
680	554912	259936
681	555715	259116
682	556536	258304
683	557356	257492
684	558170	256676
685	558979	255859
686	559818	255055
687	560650	254248
688	561498	253448
689	562339	252645
690	563182	251843
691	564079	251064
692	564930	250265
693	565821	249483
694	566739	248713
695	567619	247925
696	568508	247142
697	569411	246364
698	570318	245587
699	571215	244806
700	572065	244005
701	572918	243204
702	573803	242417
703	574677	241625
704	575594	240851
705	576532	240085
706	577497	239330
707	578396	238547
708	579280	237758
709	580194	236980
710	581202	236241
711	582208	235500
712	583151	234732
713	584036	233941
714	585024	233191
715	585997	232434
716	586914	231655
717	587890	230898
718	588932	230167
719	590011	229448
720	590962	228680
721	592004	227946
722	593034	227206
723	593998	226441
724	594973	225679
725	595891	224895
726	596828	224118
727	597731	223328
728	598613	222529
729	599479	221725
730	600363	220927
731	601250	220130
732	602132	219330
733	603017	218532
