iter	MultiClass
157	0.3735532615
158	0.373220713
159	0.3726228933
160	0.3720453979
161	0.3716148101
162	0.3705516336
163	0.3691153834
164	0.3683525915
165	0.3674039597
166	0.366801756
167	0.3665225905
168	0.3655101357
169	0.3646845542
170	0.3635085154
171	0.3625767409
172	0.3617508584
173	0.3611454625
174	0.360448398
175	0.359946341
176	0.3593218531
177	0.3589001022
178	0.3584765662
179	0.3580117433
180	0.357269505
181	0.3569020202
182	0.3563421348
183	0.355809683
184	0.3551563886
185	0.354800037
186	0.3544729759
187	0.3539529839
188	0.3536680335
189	0.3529704768
190	0.3523369137
191	0.3520434453
192	0.351559089
193	0.3510739251
194	0.3502804999
195	0.3497497086
196	0.3493278732
197	0.3486253482
198	0.3480227238
199	0.3475513192
200	0.3471348397
201	0.3466282464
202	0.3459910529
203	0.3455520122
204	0.3451546509
205	0.344519693
206	0.3439469062
207	0.3437005956
208	0.3434403465
209	0.3428330902
210	0.3423878347
211	0.3417235933
212	0.3411117388
213	0.3408477985
214	0.3406335399
215	0.3404022444
216	0.3401963394
217	0.3394720052
218	0.3382893528
219	0.3376524289
220	0.3372589442
221	0.3368075983
222	0.3364644265
223	0.336089386
224	0.3356609158
225	0.3353601179
226	0.3350086412
227	0.3346357015
228	0.3342775251
229	0.3338902935
230	0.3335078173
231	0.3331709203
232	0.3325721685
233	0.3322817802
234	0.3318513515
235	0.3311151462
236	0.330350705
237	0.3300677514
238	0.3297999506
239	0.3295867259
240	0.3292820268
241	0.3287170143
242	0.3285079805
243	0.3277583899
244	0.3276053415
245	0.326995467
246	0.3266016772
247	0.3263005107
248	0.3259714004
249	0.3254880685
250	0.3248559784
251	0.3244724101
252	0.3241978111
253	0.3239439276
254	0.3235371628
255	0.3226460827
256	0.3225100932
257	0.32208021
258	0.321770126
259	0.3214289502
260	0.3213070024
261	0.321043817
262	0.3208669305
263	0.3206539933
264	0.3205168666
265	0.3201999097
266	0.3196627022
267	0.3194819189
268	0.3191048212
269	0.3189181837
270	0.3187570036
271	0.3180166302
272	0.317671729
273	0.3172683848
274	0.3166938151
275	0.3165910378
276	0.31641323
277	0.316313284
278	0.316062273
279	0.3158300094
280	0.3152907303
281	0.3150643663
282	0.3148150189
283	0.3145637142
284	0.3142707438
285	0.3141537407
286	0.3140233301
287	0.3139260942
288	0.3137120329
289	0.3135006727
290	0.3131681566
291	0.3127340283
292	0.3122009056
293	0.3120125783
294	0.3118408089
295	0.3117426044
296	0.311276259
297	0.3111520869
298	0.3109366394
299	0.310765799
300	0.310580626
301	0.3104894299
302	0.3101263228
303	0.3097332912
304	0.3095488095
305	0.3092229026
306	0.3090202402
307	0.3087782517
308	0.3085959283
309	0.3083860059
310	0.3082208852
311	0.3078310367
312	0.3076897172
313	0.3074315335
314	0.3071807414
315	0.3068979492
316	0.3067395279
317	0.30657646
318	0.3064105394
319	0.3062101708
320	0.3061341484
321	0.3058057613
322	0.3053774728
323	0.305277489
324	0.3051077217
325	0.3046640451
326	0.3045095233
327	0.3043141829
328	0.3041924886
329	0.3037824586
330	0.303679029
331	0.3030924146
332	0.3030318873
333	0.3028490419
334	0.3027500632
335	0.3025413501
336	0.3024286826
337	0.30234854
338	0.3022947446
339	0.3021938033
340	0.3018312791
341	0.3017602405
342	0.3016783982
343	0.301541137
344	0.3014347344
345	0.3012940617
346	0.3011462158
347	0.30105393
348	0.3009768075
349	0.3009349678
350	0.3008679338
351	0.3006559971
352	0.3005907869
353	0.3001306376
354	0.2999297304
355	0.2997816247
356	0.2997012189
357	0.2996349699
358	0.2992889252
359	0.299116907
360	0.2990839225
361	0.2989917117
362	0.2987122672
363	0.2986243518
364	0.2985017647
365	0.2984460478
366	0.2979955064
367	0.2978381571
368	0.2977652797
369	0.2976989568
370	0.2973525094
371	0.2972751697
372	0.297029944
373	0.2966974958
374	0.2965046287
375	0.2964090162
376	0.2962204358
377	0.2960851385
378	0.2959356932
379	0.2956057896
380	0.2955361948
381	0.2954658605
382	0.2953728115
383	0.2952699147
384	0.295118848
385	0.2950127699
386	0.294752548
387	0.2942244847
388	0.2940282773
389	0.2939686613
390	0.2937982892
391	0.2933294553
392	0.2931366912
393	0.2926431153
394	0.2920738254
395	0.2919099918
396	0.2918575376
397	0.2917295723
398	0.2916080267
399	0.2915507343
400	0.2914896334
401	0.2913697055
402	0.2910494911
403	0.2908690519
404	0.2907191441
405	0.2904798868
406	0.2904277601
407	0.2901484804
408	0.2900002055
409	0.28983062
410	0.2896627254
411	0.2894002286
412	0.2893610499
413	0.2892660377
414	0.2891775529
415	0.2890337176
416	0.2888782076
417	0.288797262
418	0.288657326
419	0.2886189546
420	0.2880605602
421	0.2879984441
422	0.2878386694
423	0.2877855611
424	0.2875869943
425	0.2874196532
426	0.2872980333
427	0.2870969783
428	0.2869482317
429	0.2868829397
430	0.2868296974
431	0.2865685523
432	0.2864986102
433	0.2861205185
434	0.285865819
435	0.2856922887
436	0.2856158164
437	0.2854205314
438	0.2851537179
439	0.2850200168
440	0.2849740714
441	0.2847681435
442	0.284680376
443	0.2845722548
444	0.2843623097
445	0.2841291909
446	0.2840823461
447	0.2840201046
448	0.283901614
449	0.2838281463
450	0.283629485
451	0.2832840298
452	0.2830818955
453	0.2828642388
454	0.282740566
455	0.2824241985
456	0.282387198
457	0.2823235566
458	0.2822766493
459	0.2822464673
460	0.2819911187
461	0.2819195376
462	0.2818199898
463	0.2815832169
464	0.2814486965
465	0.2813682613
466	0.2811582757
467	0.2811026462
468	0.2810453184
469	0.2808342935
470	0.2807536698
471	0.2806175272
472	0.2804723973
473	0.2803049047
474	0.2802617164
475	0.2802063835
476	0.2801408475
477	0.280084853
478	0.2798516139
479	0.2798139179
480	0.2795649355
481	0.2795262505
482	0.2795001067
483	0.2793241065
484	0.2792398277
485	0.2788056923
486	0.2782522471
487	0.27819483
488	0.2780912419
489	0.2779567985
490	0.2779074181
491	0.2776953179
492	0.2774728106
493	0.2774409334
494	0.2773576594
495	0.2773140535
496	0.2772722992
497	0.2768327013
498	0.2767760271
499	0.276714679
500	0.27668213
501	0.27661358
502	0.2763566678
503	0.2763209635
504	0.2762708469
505	0.2762227302
506	0.2761871984
507	0.2761306736
508	0.2760818421
509	0.2760285299
510	0.2758190568
511	0.2757541281
512	0.275495457
513	0.2752879848
514	0.2752596404
515	0.2752058517
516	0.2751655736
517	0.2750714416
518	0.2750292693
519	0.274997216
520	0.2748443017
521	0.2746057695
522	0.2740901123
523	0.2738802961
524	0.2738363442
525	0.2735966439
526	0.2734841765
527	0.2731708666
528	0.2731207983
529	0.2730680506
530	0.2730015667
531	0.2729483697
532	0.2729103034
533	0.2728572417
534	0.2727173428
535	0.2726163291
536	0.2725390763
537	0.2723215055
538	0.2722869144
539	0.2721321555
540	0.2720863779
541	0.2719280529
542	0.2718748147
543	0.271817779
544	0.2717622572
545	0.2717327342
546	0.2715670746
547	0.2715043401
548	0.2714629821
549	0.2713322788
550	0.2712927281
551	0.2712112727
552	0.2711828977
553	0.2711467594
554	0.2710805562
555	0.2708608965
556	0.2708137633
557	0.2707782915
558	0.2707567042
559	0.2706154118
560	0.2704040485
561	0.2701094446
562	0.2700690787
563	0.2700268449
564	0.2699598271
565	0.2697853847
566	0.269728184
567	0.2696551359
568	0.2695826213
569	0.2695424848
570	0.2694104028
571	0.2693011005
572	0.2692006541
573	0.2689408065
574	0.268896527
575	0.2686454413
576	0.2683919205
577	0.2683235072
578	0.2681864982
579	0.2678831967
580	0.2677087418
581	0.2676634228
582	0.2675542053
583	0.2674986813
584	0.2674498501
585	0.2674103348
586	0.267360352
587	0.2671652755
588	0.2671287256
589	0.2670775234
590	0.2668421848
591	0.2667837856
592	0.2666656152
593	0.2666223256
594	0.2665578377
595	0.2664710861
596	0.2664385472
597	0.2662449393
598	0.2661362276
599	0.2659690967
600	0.2659337028
601	0.265871269
602	0.2657695432
603	0.2656863998
604	0.2656613022
605	0.2654267634
606	0.2653377681
607	0.2649953023
608	0.2648548462
609	0.2648132128
610	0.2647738085
611	0.2646584864
612	0.2645138232
613	0.2644699678
614	0.2644498961
615	0.2642981569
616	0.2642520948
617	0.2642006149
618	0.2639571277
619	0.263859979
620	0.2638263746
621	0.2637951033
622	0.2637065338
623	0.2636348681
624	0.2635919455
625	0.2634253896
626	0.2633764577
627	0.2633405577
628	0.2633192004
629	0.2631385383
630	0.2631106191
631	0.2630800166
632	0.2630464498
633	0.2627428554
634	0.2627140992
635	0.2625963722
636	0.2625599087
637	0.26243464
638	0.2623913964
639	0.2622467316
640	0.2622057618
641	0.2620189763
642	0.2618505455
643	0.261813728
644	0.2617852432
645	0.2617592219
646	0.2616988367
647	0.2616130975
648	0.2613603614
649	0.2613349407
650	0.2612694138
651	0.261203001
652	0.2611249073
653	0.2610816168
654	0.2610522747
655	0.2609086556
656	0.2607490722
657	0.2606451391
658	0.2605922313
659	0.2604761339
660	0.2604238441
661	0.2603628949
662	0.2602352099
663	0.2601704412
664	0.2601239019
665	0.2600844986
666	0.26003165
667	0.2599990331
668	0.2599544835
669	0.2599257344
670	0.2598987489
671	0.2598762784
672	0.2597974206
673	0.259729444
674	0.2596958562
675	0.2595396641
676	0.2594797902
677	0.2590663831
678	0.2589908601
679	0.2588447543
680	0.2587436352
681	0.2586995131
682	0.2586039244
683	0.2585829834
684	0.2585570919
685	0.2584142584
686	0.2583824193
687	0.2582758859
688	0.2582375931
689	0.2581999945
690	0.2581257397
691	0.2580834791
692	0.2580622179
693	0.257980787
694	0.2578574267
695	0.2577868366
696	0.2577661854
697	0.2577355578
698	0.2576258604
699	0.2575803255
700	0.2575083516
701	0.257471961
702	0.2574351552
703	0.2574028668
704	0.2573743732
705	0.2573471619
706	0.2570915951
707	0.257059225
708	0.2570331469
709	0.2569733815
710	0.2569457342
711	0.2568569188
712	0.2568362164
713	0.2568052933
714	0.2567493623
715	0.2566837678
716	0.2566473682
717	0.2565393963
718	0.25651789
719	0.256493491
720	0.2564636224
721	0.2564288491
722	0.2563874796
723	0.2563014187
724	0.256218462
725	0.2561690228
726	0.2561385135
727	0.2560187708
728	0.2559889898
729	0.2559674025
730	0.2558635766
731	0.25579755
732	0.2556557082
733	0.2556180936
734	0.255428403
735	0.2554031631
736	0.2553635261
737	0.2552589768
738	0.2552153257
739	0.2550352598
740	0.2549697295
741	0.2549340493
742	0.2548837932
743	0.2548399326
744	0.2548220548
745	0.2547262397
746	0.2546989635
747	0.2545923194
748	0.2545662317
749	0.2543748464
750	0.254354504
751	0.2543382459
752	0.254312682
753	0.2542762767
754	0.2542200294
755	0.2540731219
756	0.2539495224
757	0.2539119737
758	0.2538592666
759	0.2537921066
760	0.2537733476
761	0.2537593467
762	0.2537326066
763	0.2537039407
764	0.2536820785
765	0.2536628209
766	0.2536366843
767	0.2536014513
768	0.2534613581
769	0.2534238077
770	0.2533916534
771	0.2532297005
772	0.2532071212
773	0.2528895262
774	0.2528662664
775	0.2526768215
776	0.2525942886
777	0.252561137
778	0.2525344623
779	0.2525009978
780	0.2524857805
781	0.2524293869
782	0.2523956056
783	0.2522257169
784	0.2521272779
785	0.2520294232
786	0.2520107488
787	0.2519843486
788	0.2519502723
789	0.2519118265
790	0.2518525184
791	0.2518325445
792	0.2518102502
793	0.2517684128
794	0.2517378635
795	0.2517160362
796	0.251682069
797	0.2516636659
798	0.2516433936
799	0.251483975
800	0.2513560963
801	0.2513178736
802	0.250975768
803	0.2509495871
804	0.2507659816
805	0.2507428663
806	0.2506638744
807	0.2505529991
808	0.2504927302
809	0.2504731731
810	0.2504027104
811	0.2503462806
812	0.2501913268
813	0.249877345
814	0.2497932064
815	0.2497265056
816	0.2496770476
817	0.2496570921
818	0.2496222124
819	0.2495902633
820	0.2495714838
821	0.2495520663
822	0.2494991661
823	0.2494649774
824	0.249238349
825	0.2491899641
826	0.2488769392
827	0.2488344345
828	0.2487994916
829	0.2487754757
830	0.2487480595
831	0.2486915116
832	0.2486741185
833	0.2486324876
834	0.2486161405
835	0.2485141709
836	0.2484855873
837	0.2482917159
838	0.2482596529
839	0.2481486538
840	0.2481208317
841	0.2480721985
842	0.2480354575
843	0.2480087739
844	0.2479652655
845	0.2479350196
846	0.2479086552
847	0.2478710341
848	0.2478207641
849	0.2477932974
850	0.2477588296
851	0.2477388346
852	0.2477068883
853	0.2476868283
854	0.2475958799
855	0.2475803913
856	0.2474834167
857	0.2474482717
858	0.2474074885
859	0.2473741882
860	0.2472060141
861	0.2471882608
862	0.2471388446
863	0.2468010314
864	0.2467794951
865	0.246757413
866	0.2467341882
867	0.2466862828
868	0.2466558235
869	0.2465222768
870	0.2465009751
871	0.2463318555
872	0.2463083468
873	0.2462708379
874	0.2462423771
875	0.2461708491
876	0.2461501653
877	0.2460322576
878	0.2459459225
879	0.2459259386
880	0.2458066094
881	0.2456003225
882	0.2455805501
883	0.2455296684
884	0.2454994727
885	0.2454790108
886	0.2454629816
887	0.2454315605
888	0.2454134204
889	0.245370525
890	0.2453317883
891	0.2451497526
892	0.2449363479
893	0.2449073727
894	0.2446435513
895	0.244615765
896	0.2445793796
897	0.2445536278
898	0.2445210404
899	0.2444572098
900	0.2443960639
901	0.2443737399
902	0.2443469441
903	0.2443060829
904	0.2441712644
905	0.2441559176
906	0.2441102287
907	0.2440918393
908	0.244083754
909	0.2440535738
910	0.2439876937
911	0.2439656041
912	0.2439362279
913	0.2439060551
914	0.2438710739
915	0.2438492181
916	0.2437580953
917	0.2437319418
918	0.2436289577
919	0.2435808285
920	0.2435312133
921	0.2435153273
922	0.2434953427
923	0.2434789101
924	0.2432666137
925	0.2432212752
926	0.2430832574
927	0.2430657294
928	0.2430295019
929	0.242945871
930	0.242917287
931	0.2428878221
932	0.2427924418
933	0.2427752505
934	0.2427578876
935	0.2427325926
936	0.2427174049
937	0.2427042261
938	0.2426649669
939	0.2426420632
940	0.2426232111
941	0.2425737087
942	0.2425476418
943	0.2425028464
944	0.2424891215
945	0.2424639337
946	0.242440387
947	0.2424123441
948	0.2423265808
949	0.2422675025
950	0.2420688014
951	0.2420542266
952	0.2420389009
953	0.2420191319
954	0.2419969552
955	0.2419411371
956	0.2418838785
957	0.2418622445
958	0.2418280167
959	0.2418103376
960	0.2417817822
961	0.2417632763
962	0.2417235324
963	0.2416492756
964	0.2416275735
965	0.2416048388
966	0.2415676897
967	0.2414680428
968	0.2414331304
969	0.2414010713
970	0.2413705663
971	0.2413392042
972	0.2412859428
973	0.2412734406
974	0.2412378858
975	0.2412221371
976	0.2412042497
977	0.2411813057
978	0.2411545256
979	0.2410998184
980	0.2409279608
981	0.2408908688
982	0.240863778
983	0.2408434896
984	0.240809438
985	0.2407872588
986	0.2407582394
987	0.2407452054
988	0.2406813888
989	0.2406532983
990	0.2405763265
991	0.2405369567
992	0.240514728
993	0.2404846171
994	0.2403335131
995	0.2403184226
996	0.2402631942
997	0.2402357524
998	0.2402228351
999	0.2402028879
